Vaga,Empresa,Pontuacao_Empresa,Numero_Avaliacoes,Localizacao_da_Vaga,Modelo,Salario,Link_Vaga
Meio Oficial De Cozinha - Jd Presidente Dutra/Guarulhos-SP,DE NADAI,"4,4",872 avaliações,Guarulhos - SP,Presencial,"R$ 1.738,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-meio-oficial-cozinha-jd-presidente-dutraguarulhos-sp-em-sao-paulo__9324983.aspx
Vendas Internas-SEM EXPERIENCIA/INICIO IMEDIATO(C),Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendas-internas-sem-experienciainicio-imediatoc-em-sao-paulo__9325017.aspx
Vendedor Interno.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-interno-em-sao-paulo__9326390.aspx
Consultor Financeiro | Crédito Consignado | Seg A Sex,GRUPO MAIS VALOR,"2,0",1.594 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-financeiro-credito-consignado-seg-sex-em-sao-paulo__9324926.aspx
Assistente De Recrutamento E Seleção,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-assistente-recrutamento-selecao-em-sao-paulo__9159993.aspx
Corretor De Imóveis Autônomo,MRV & CO,7.702 avaliações,"4,5",Seropédica - RJ,Híbrido,Salário a combinar,https://www.infojobs.com.br/vaga-de-corretor-imoveis-autonomo-em-rio-janeiro__9330793.aspx
Promotor De Trade Marketing,WORK ON,1.006 avaliações,"4,5",Rio de Janeiro - RJ,Presencial,"R$ 1.216,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-trade-marketing-em-rio-janeiro__9330660.aspx
Analista De Suporte Técnico,EMPREGGA,Sem nota,Sem avaliações,Mogi das Cruzes - SP,Presencial,"R$ 2.400,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-suporte-tecnico-em-sao-paulo__9326381.aspx
Supervisor Técnico Em Nutrição,PRONUTRI PREMIUM,Sem nota,Sem avaliações,Monte Mor - SP,Presencial,"R$ 2.400,00 a R$ 2.614,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-supervisor-tecnico-nutricao-em-sao-paulo__9326544.aspx
Auxiliar De Serviços Gerais - Ipiranga/ SP,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Cotia - SP,Presencial,"R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-ipiranga-sp-em-sao-paulo__9326338.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,Guapiaçu - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9325016.aspx
Promotor De Vendas - Tempero,SMOLLAN iTRADE,"4,3",540 avaliações,São Paulo - SP,Presencial,"R$ 1.550,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-tempero-em-sao-paulo__9325617.aspx
Auxiliar De Loja - Shopping Pátio Higienópolis,GRUPO GENTE,"4,2",116 avaliações,São Paulo - SP,Presencial,"R$ 1.813,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-loja-shopping-patio-higienopolis-em-sao-paulo__9324797.aspx
Técnico De Segurança Do Trabalho,Semote RH,Sem nota,Sem avaliações,Caieiras - SP,Presencial,"R$ 4.736,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-tecnico-seguranca-do-trabalho-em-sao-paulo__9326159.aspx
Auxiliar De Cabeleireiro,SPAZIO M CABELEIREIROS,Sem nota,Sem avaliações,Jundiaí - SP,Presencial,"R$ 1.600,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cabeleireiro-em-sao-paulo__9324345.aspx
Gerente De Loja,GMP RECURSOS HUMANOS LTDA,"4,1",686 avaliações,Guarulhos - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-gerente-loja-em-sao-paulo__9325235.aspx
Vendedor Sem Experiência.,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-experiencia-em-sao-paulo__9326409.aspx
Consultor De Vendas,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.400,00 a R$ 4.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9112008.aspx
OP LOJA 1 - BALCÃO ROTISSEIRE,SUPERMERCADOS PAGUE MENOS,"4,4",1.016 avaliações,Sumaré - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-op-loja-1-balcao-rotisseire-em-sao-paulo__9331707.aspx
Auxiliar De Limpeza - INICIO IMEDIATO,Directa Serviços,Sem nota,Sem avaliações,Itupeva - SP,Presencial,"R$ 1.500,00 a R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-inicio-imediato-em-sao-paulo__9324566.aspx
Ajudante De Cozinha,QUINTAL DO ZE,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-ajudante-cozinha-em-sao-paulo__9326484.aspx
Balconista De Frios,EMPORIO VILLAMARIN,5 avaliações,,São Paulo - SP,Presencial,"R$ 1.879,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-balconista-frios-em-sao-paulo__9331772.aspx
"Vendedor - Seguros, Planos De Saúde E Consórcio",F&C Sucesso Corretora de Seguros Ltda,Sem nota,Sem avaliações,São Caetano do Sul - SP,Presencial,Salário a combinar,"https://www.infojobs.com.br/vaga-de-vendedor-seguros,-planos-saude-consorcio-em-sao-paulo__9132616.aspx"
Analista De RH Generalista,GRUPO ARPOADOR,Sem nota,Sem avaliações,Rio de Janeiro - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-analista-rh-generalista-em-rio-janeiro__9330200.aspx
Auxiliar De Expedição (SEM EXPERIENCIA ),CETRUS CONSULTORIA E RECURSOS HUMANOS LTDA,Sem nota,Sem avaliações,Barueri - SP,Presencial,"R$ 1.630,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-expedicao-sem-experiencia--em-sao-paulo__9331461.aspx
Auxiliar De Logística - Bragança Paulista Noturno,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,Bragança Paulista - SP,Presencial,"R$ 1.700,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistica-braganca-paulista-noturno-em-sao-paulo__9324089.aspx
Mecânico(A) De Automóveis - Oficina De Veículos Premium,DCN SOLUCOES EM RH,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-mecanicoa-automoveis-oficina-veiculos-premium-em-sao-paulo__9331755.aspx
Atendente De Telemarketing Televendas - Produtos Naturais,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,"R$ 1.320,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-atendente-telemarketing-televendas-produtos-naturais-em-sao-paulo__9323954.aspx
Técnico Em Automação Industrial,VCRH,Sem nota,Sem avaliações,Embu-Guaçu - SP,Presencial,"R$ 3.000,00 a R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-tecnico-automacao-industrial-em-sao-paulo__9324241.aspx
Promotor De Merchandising,SPAR BRASIL,"4,5",1.548 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-promotor-merchandising-em-sao-paulo__9324365.aspx
Empregada Doméstica - Mensalista,Escola Brasileira de Personal Organizer,Sem nota,Sem avaliações,Santana de Parnaíba - SP,Presencial,"R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-empregada-domestica-mensalista-em-sao-paulo__8910992.aspx
Analista Contábil Fiscal - INICIO IMEDIATO,Nome da empresa não encontrado,Sem nota,Sem avaliações,Americana - SP,Presencial,"R$ 4.000,00 a R$ 4.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-contabil-fiscal-inicio-imediato-em-sao-paulo__9324410.aspx
Mecânico De Motocicletas - Motos 0 Km,"São Bernardo do Campo - SP, a 31,3 km de você.",Sem nota,Sem avaliações,São Bernardo do Campo - SP,Modelo de trabalho não encontrado,"R$ 3.000,00 (Bruto mensal)",Link não encontrado
Fresador Mecânico,JRL EMPREGOS,Sem nota,Sem avaliações,Ferraz de Vasconcelos - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-fresador-mecanico-em-sao-paulo__9325937.aspx
CONSULTOR DE VENDAS EXTERNAS - SÃO JOSÉ DOS CAMPOS,Grupo COMM,"4,3",1.471 avaliações,São José dos Campos - SP,Presencial,"R$ 1.495,00 a R$ 1.570,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-externas-sao-jose-campos-em-sao-paulo__9325424.aspx
ESTÁGIO COMERCIAL - SÃO JOSÉ DOS CAMPOS - SP,Estagiando Centro de Estágio,Sem nota,Sem avaliações,São José dos Campos - SP,Presencial,"R$ 1.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagio-comercial-sao-jose-campos-sp-em-sao-paulo__9324465.aspx
ESTAGIARIO - REPOSIÇÃO,SUPERMERCADO BARBOSA,"4,1",2.951 avaliações,Tatuí - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-estagiario-reposicao-em-sao-paulo__9324487.aspx
Auxiliar De Cozinha,Grupo Facility,"4,3",200 avaliações,São Paulo - SP,Presencial,"R$ 1.550,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-cozinha-em-sao-paulo__9324986.aspx
Vendedor Interno,DNA ALIMENTOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 2.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-interno-em-sao-paulo__9325459.aspx
Pessoa Assistente Administrativo - Faturamento,METARH,"4,5",140 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-pessoa-assistente-administrativo-faturamento-em-sao-paulo__9331742.aspx
Auxiliar Logistico I - São Bernardo Do Campo,GLOBAL EMPREGOS. (S-ANDR),"4,4",2.653 avaliações,São Bernardo do Campo - SP,Presencial,"R$ 1.648,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-i-sao-bernardo-do-campo-em-sao-paulo__9324126.aspx
Vendedor Comercial,REI CAR ASSEMBLEIA AUTO CENTER,Sem nota,Sem avaliações,Diadema - SP,Presencial,"R$ 1.500,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-comercial-em-sao-paulo__9324909.aspx
Repositor De Perecíveis,TENDA ATACADO,"4,2",3.790 avaliações,Pindamonhangaba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-repositor-pereciveis-em-sao-paulo__9325932.aspx
Consultor De Negócios - Externo,MP,Sem nota,Sem avaliações,Votuporanga - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultor-negocios-externo-em-sao-paulo__9325035.aspx
Auxiliar De Escrita Fiscal,PAN - Recursos Humanos,Sem nota,Sem avaliações,Indaiatuba - SP,Presencial,"R$ 1.850,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-escrita-fiscal-em-sao-paulo__9325380.aspx
Auxiliar De Limpeza- Centro De SP,Grupo GPS,"4,2",9.027 avaliações,São Paulo - SP,Presencial,"R$ 1.589,00 a R$ 1.590,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-limpeza-centro-sp-em-sao-paulo__9325121.aspx
Especialista Ou Analista Contábil SR - Banco - Pinheiros,Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Híbrido,"R$ 8.500,00 a R$ 12.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-especialista-analista-contabil-sr-banco-pinheiros-em-sao-paulo__9325929.aspx
Repositor De Frrios,ATACADAO,"4,4",31.934 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-repositor-frrios-em-sao-paulo__9326554.aspx
Vendedor De Loja - Vendedor De Ótica,ÓTICAS LUPAK,Sem nota,Sem avaliações,Duque de Caxias - RJ,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-loja-vendedor-otica-em-rio-janeiro__9331117.aspx
Controlador De Acesso,SECURITY SEGURANCA LTDA,"4,5",1.570 avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-controlador-acesso-em-sao-paulo__9325302.aspx
Vendedor Externo,A MIMURA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-externo-em-sao-paulo__9176910.aspx
VENDEDOR DE IMÓVEIS - VENDAS/ Corretor De Imóveis - Início Imediato/ TREINAMENTOS - Construtora Even,Even More Construtora,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-imoveis-vendas-corretor-imoveis-inicio-em-sao-paulo__9324688.aspx
Encarregado De Manutenção De Frota - Santos,DANIEL BRUNO RODRIGUES MAIDANA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-encarregado-manutencao-frota-santos-em-sao-paulo__9326511.aspx
Instalador De Comunicação Visual,Simetria Publicidade,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-instalador-comunicacao-visual-em-sao-paulo__9331728.aspx
Analista De Suporte Técnico - N3,Global Data Solutions,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 4.000,00 a R$ 6.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-suporte-tecnico-n3-em-sao-paulo__9326494.aspx
AUXILIAR DP EXTERNO,MR&T Terceirização,"2,2",12 avaliações,Itapevi - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-dp-externo-em-sao-paulo__9325416.aspx
Recepcionista Zona Oeste,BRABUS,164 avaliações,"4,6",Todo Brasil,Presencial,"R$ 2.143,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-recepcionista-zona-oeste-em-__9331347.aspx
Confeiteiro,EMPORIO VILLAMARIN,5 avaliações,"4,4",São Paulo - SP,Presencial,"R$ 2.100,00 a R$ 2.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-confeiteiro-em-sao-paulo__9331780.aspx
Vendedor,"São Caetano do Sul - SP, a 18,2 km de você.",Sem nota,Sem avaliações,São Caetano do Sul - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
Tecnico Refrigeração,"São Paulo - SP, a 16,8 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,"R$ 2.500,00 a R$ 3.000,00 (Bruto mensal)",Link não encontrado
Estagiário - Necessário Estar Cursando Técnico Ou Superior,Comercio de Joias LTDA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.100,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estagiario-necessario-cursando-tecnico-superior-em-sao-paulo__9324152.aspx
Auxiliar Administrativo,Adonai RH,Sem nota,Sem avaliações,Jacareí - SP,Presencial,"R$ 1.000,00 a R$ 1.700,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-administrativo-em-sao-paulo__9325690.aspx
Vendedor (A) Interno - Campo Limpo,EMPRESA CONFIDENCIAL,Sem nota,EMPRESA CONFIDENCIAL,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-interno-campo-limpo-em-sao-paulo__9331699.aspx
Auxiliar De Serviços Gerais,BRFORT SERVIÇOS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.636,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-servicos-gerais-em-sao-paulo__9183533.aspx
Executivo De Contas,ADECCO,"4,4",2.331 avaliações,Campinas - SP,Presencial,"R$ 2.800,00 a R$ 3.500,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-executivo-contas-em-sao-paulo__9326289.aspx
Técnico De Manutenção Pl. Em Ribeirão Preto - SP,MANPOWER STAFFING. (Matriz),"4,4",3.890 avaliações,Ribeirão Preto - SP,Presencial,"R$ 2.742,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-tecnico-manutencao-pl-ribeirao-preto-sp-em-sao-paulo__9324153.aspx
Auxiliar De Almoxarife - Cotia SP,ALVEOLARE,"3,2",5 avaliações,Cotia - SP,Presencial,"R$ 1.839,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-almoxarife-cotia-sp-em-sao-paulo__9153540.aspx
VENDEDOR - GUARULHOS VILA RIO,MAZZINI,"4,4",3.141 avaliações,Guarulhos - SP,Presencial,"R$ 1.680,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vendedor-guarulhos-vila-rio-em-sao-paulo__9325910.aspx
Estoquista,Fábrica de Bares,"4,1",54 avaliações,São Paulo - SP,Presencial,"R$ 1.800,00 a R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-estoquista-em-sao-paulo__9325549.aspx
Balconista De Padaria,Prompt Empregos,"3,9",391 avaliações,São Paulo - SP,Presencial,"R$ 1.898,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-balconista-padaria-em-sao-paulo__9324855.aspx
Meio Oficial Mecânico De Manutenção,Premium Talents,Sem nota,Sem avaliações,Guarulhos - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-meio-oficial-mecanico-manutencao-em-sao-paulo__9326506.aspx
Analissta De Supply Chain (Foco Em Compras),Randstad - Matriz,"4,5",5.083 avaliações,São Paulo - SP,Presencial,"R$ 3.000,00 a R$ 5.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analissta-supply-chain-foco-compras-em-sao-paulo__9326474.aspx
Coordenadora De Marketing,ABRA - Academia Brasileira de Arte,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-coordenadora-marketing-em-sao-paulo__9326144.aspx
Assistente De Assuntos Acadêmicos,Nome da empresa não encontrado,Sem nota,Sem avaliações,Rio de Janeiro - RJ,Híbrido,"R$ 2.700,00 a R$ 2.722,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-assistente-assuntos-academicos-em-rio-janeiro__9331725.aspx
Pintor,ONET CENTRO SERVIÇOS,"4,1",586 avaliações,Atibaia - SP,Presencial,"R$ 2.405,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-pintor-em-sao-paulo__9324759.aspx
ATENDIMENTO CONVENIENCIA,"Araraquara - SP, a 242,7 km de você.",Sem nota,Sem avaliações,Araraquara - SP,Modelo de trabalho não encontrado,"R$ 1.600,00 a R$ 2.000,00 (Bruto mensal)",Link não encontrado
Executivo De Contas Externo,"Rio de Janeiro - RJ, a 340,2 km de você.",Sem nota,Sem avaliações,Rio de Janeiro - RJ,Presencial,"R$ 2.000,00 (Bruto mensal)",Link não encontrado
Operador Atendimento I (VOZ) - DVA - OSASCO,CARREFOUR,"4,3",41.516 avaliações,São Paulo - SP,PCD Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-operador-atendimento-i-voz-dva-osasco-em-sao-paulo__9326407.aspx
Ajudante De Cozinha - Açougue/ Supermercado/Cozinha/Padaria,,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,
Promotor De Vendas,WORLD BUSINESS,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 2.000,00 a R$ 2.226,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-vendas-em-sao-paulo__9325476.aspx
Costureira - Máquina Transporte Triplo,Nome da empresa não encontrado,Sem nota,Sem avaliações,Mauá - SP,Presencial,"R$ 2.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-costureira-maquina-transporte-triplo-em-sao-paulo__9323855.aspx
Comprador,GS INNOVATION COMERCIO DE COSMETICOS,Sem nota,Sem avaliações,Itaquaquecetuba - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-comprador-em-sao-paulo__9324789.aspx
AUXILIAR LOGISTICO,Blitz Recursos Humanos,"3,7",535 avaliações,São Paulo - SP,Presencial,"R$ 1.700,00 a R$ 1.770,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-auxiliar-logistico-em-sao-paulo__9178107.aspx
Ajudante De Cozinha,"São Paulo - SP, a 9,6 km de você.",Sem nota,Sem avaliações,São Paulo - SP,Modelo de trabalho não encontrado,Salário a combinar,Link não encontrado
APLICADORA DE LASER VENDEDORA,LASER FAST,"4,0",309 avaliações,Ribeirão Preto - SP,Presencial,"R$ 2.300,00 a R$ 3.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-aplicadora-laser-vendedora-em-sao-paulo__9324033.aspx
Vendedor Interno,BEETRADE ASSESSORIA DE MARKETING E BRINDES EIRELI,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-vendedor-interno-em-sao-paulo__9325164.aspx
Consultor(A) Recrutamento E Seleção - Home Office - MEI Ou PJ,NOVO RUMO RH,Sem nota,Sem avaliações,São Paulo - SP,Home office,Salário a combinar,https://www.infojobs.com.br/vaga-de-consultora-recrutamento-selecao-home-office-mei-pj-em-sao-paulo__9325798.aspx
Consultor De Vendas,EMPREGGA,Sem nota,Sem avaliações,Mogi das Cruzes - SP,Presencial,"R$ 1.850,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-consultor-vendas-em-sao-paulo__9326457.aspx
VIGILANTE PATRIMONIAL - PARATY - RJ - ID: 240001LM,GRUPO PROSEGUR,"4,6","4,6",Parati - RJ,Presencial,"R$ 1.700,00 a R$ 1.800,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-vigilante-patrimonial-paraty-rj-id-240001lm-em-rio-janeiro__9331705.aspx
Promotor - Merchandising,ACESSO MARKETING PROMOCIONAL LTDA,Sem nota,Sem avaliações,São Paulo - SP,Presencial,"R$ 1.500,00 a R$ 1.537,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-promotor-merchandising-em-sao-paulo__9326391.aspx
Auxiliar De Vendas - SEM EXPERIENCIA (AD),Nome da empresa não encontrado,Sem nota,Sem avaliações,São Paulo - SP,Presencial,Salário a combinar,https://www.infojobs.com.br/vaga-de-auxiliar-vendas-experiencia-ad-em-sao-paulo__9325190.aspx
Analista De Recursos Humanos,GRUPO SRM,"4,0",884 avaliações,Campinas - SP,Presencial,"R$ 3.300,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-recursos-humanos-em-sao-paulo__9325861.aspx
Analista De LGPD (Lei Geral De Proteção De Dados),CR EXPRESS,"4,2",62 avaliações,São Paulo - SP,Presencial,"R$ 4.000,00 (Bruto mensal)",https://www.infojobs.com.br/vaga-de-analista-lgpd-lei-geral-protecao-dados-em-sao-paulo__9324546.aspx
